#indo
*Indo-European
+Proto-Indo- European	*oynos / *sem	*duwō	*treyes	*kwetwores	*penkwe	*sweks	*septṃ	*oktō	*newṇ 	*dekṃ
Kolhreng	k’at	ki-ni	kan-t‘ūm	milli	ra-ŋā	kū-rūk	sā-ri	ki-rēt	kūo	som
Kom	in-k’at	i-hni	in-t’um	m-nli	r-ŋa	k-ruk	sa-ri	k-ret	ko	som
Tarao	k’at	ni	t’um	mali	ra-ŋa	ku-ruk		ti-rit	ku	śom
Aimol	an-k‘āt	an-ni	an-t‘ūm	man-li	rā-ŋā	ka-rūk	sa-ri	ka-riet	pā-kūåe	som
Chiru	a-k’at	a-di	a-t‘ūm	mi-li	ra-ŋā	ū-rūk	si-rik	ar-ret	a-ko	som
Purum	a-k‘ā	a-ni	in-t‘ūm	illi	ra-ŋā	a-rūk	sē-ri	a-ri	a-kū	a-som
Langrong	pā-kāt	pā-ni	pā-tūm	pā-li	pā-ŋā	pā-rūk	pa-sarri	pā-riet	pā-kūåe	pā-šūom
Hrangkhol	in-kāt	in-nī	in-tūm	min-li	ri-ŋā	ruōk	sā-rī	gi-riīt	gūōk	šōm
Biate	k’at	nik	t’um	li	ra-ŋa	ĭ-rūk		riēt	ĭ-kōk	sōm
Hallam (Falam)	in-k‘āt	in-ni	in-t‘ūm	man-li	ra-ŋā	ā-rūk	sa-rī	ā-riet	ā-kūok	såm
*4Central Kuki
Hmar	pukhat	pahni	pathum	pali	panga	paruk	pasari	pariet	pakuo	sawm
Pankhu	p’a-kāt	p‘a-hnī	p‘a-tūm	p‘a-lī	ra-ŋā	rūk	sā-ri	riet	kūwa	tsom
Haka (Lai, Bawm)	pa khat	pa nih	pa thum	pa li	pa nga	pa ruk	pa sarih	pa riat	pa kua	pa ra
Shonshe	-kat	hni		-li	-ŋa	rūk	se-ri	-rit	-ko
Mara	-kha	-no	-thô	-pali	-pangaw	-charu	-sari	-chari	-chaki	-hraw
Tlongsai	miakha	mianong	miathong	miapali	miapangaw	miacharu	miasari	miachari	miachaki	miahraw
Lushai	-khat	-nhih	-thum	-lī	-ngā	-ruk	-sarih	-riat	-kuā	shom
Mizo	pa-khat	pa-hniʔ	pa-thum1	pa-lii	pa-ngaa1	pa-ruk	pa-sa-riʔ	pa-riat3	pa-kua2	soom
Banjogi (Zotung)	pa-k‘at	pi-ni	pa-tum	pi-li	pa-ŋā	pa-rūk	pa-sā-ri	pa-reyet	pa-koa	tsom
Taungtha	p-k’at	p-nip	p-t’um	p-li	p-ŋa	p-ru	p-sa-ri	p-rip	p-kwa	p-hra
*4Southern Kuki
Sho	mat	ni	t’um	hli	hŋa	sok	šej	šet	kâ	ha
Thayetmo	å	hni	tun	hmli	hŋå	so	si	sä	ko	hŋā
Minbu	not
Chinbok (Mün)	tu-mat	hni	t’um	p’i	hma	k’ruk	ser	šit	ko	hrar
Chinbon	pa-hwat	pa-hi	pà-tūm	hlī	hŋå	šo-ke	šei	šut	kū	har
Yawdin	tu-mat	hni	tum	pji	hma	k’rok	k’ri	k’ret	ko	hrar
Khumi	há’	nǜ’	thùm	palǘ 	pàng	taríü’	charǜ’	tayá’	takō	hô̄
Khami	hnāk	nü	t‘ūn	pªlü	pāŋ	tarü	sªrü	tē-ya	ta-kå	ho
*3Kachin-Luic
Kachin (Jingpo)	’l-ŋâi	’l-k’ôŋ	m-sum	m-li	m-ŋa	krú̱ʔ	s-nit	m-dzát	č-k’u`	śi
Kadu	-nu	krin	sum-	pī	ŋa-	kôk	’set	p’et	kau	šimnu
Andro	hà-tà	kiŋ hà	šom hà	pī hà	ŋā-hà	kok hà	sī-nī hà	chàt hà	tū-hū hà	šēt
Sak	(su-)a	niŋ	suŋ-	pré-	ŋa-	kruk-	se-niŋ	ceit	tavu-	szé
Taman	tə	nek	sum	p-li	m-ŋa	kwa	s-ne	p-se	t-xæ	ší
Chairel	ahai	uhul	t’uŋ-koŋ	m-ri	m-ŋa	lū-	sīnī-	hūndža	handža	š-ruk
Rawang	t’i	ńi	ă-tsum	ă-byi	p’u-ṅṅa	t’ă-ru	să-nit		tă-gä
Nung	t’i	a-ni	a-cum	a-bji	p’uŋa	t’-ru	s-nit	a-šat	t-gø	t’i-sei
Drung	tiʔ	a-ní	a-sīm	a-blī	p-oâ	kruʔ	s-ñit	xjak	d-gì	ti-cal
Metu	t’i	ni	a-sem	a-dzi	pa-ṅa	tə-ru	śińö	a-šiat	tə-gö	ti-sé
Melam	kige	a-ňi	a-söm	a-bli	pa-ṅa	k-ru	śəńi	šiot	d-gu	ti-tsel
Tamalu	t’i	ńi	söm	bli	pa-ṅa	k-əu	səni	šiey	da-gö	tietsel
Tukiumu	t’i	ńi	söm	bli	pa-ṅa	k-əu	śəńi	šiey	da-gö	titsel
*3Burmese-Moso
*4Moso
Naxi	ɖɯ̄ 	ɲī 	sɿ̀ 	lū 	wɑ̄ 	ʈʂʰwɑ́ 	ʂɚ̄ 	hó 	ŋgv̩̄ 	tsʰè
Na (Moso)	ɖɯ̌ 	ŋǐ 	sō 	ʐv̩̄ 	ŋwɤ̄ 	qʰv̩̌ 	ʂʅ̄ 	hũ̌ 	gv̩̄ 	tsʰē
Laze	ɖɯ̄ 	ɲī 	sú 	ʐv̩̄ 	ŋwɤ̄ 	qʰɔ̀ 	ʂʅ̄ 	ɕì 	gv̩̄ 	sʰí
Gazhuo	kὲ	ŋ̀	sî	xə̄	ŋà	č’oʔ	sì	šiʔ	kv̄
*4Burmic
+Proto-Burmic			*sum2		*ŋa2	*khyok	*n’it	*slit	*ko2	*tshe1
+Written Burmese	tac	hnac	su`m	le`	ŋa`	k’rok	hnac	hrac	ko`	c’aj
!Burmese	tiq	hniq	thoùn	lè	ngà	c’auq	k’un-hniq	shiq	kò	s’eh
Lashi	tà	á̱k	som`	mer`	ñ̄ 	k’júk	hŋjét	šét	kōu	tà z‘e
Maru	tà	š’i̱c	sam	pìc	ŋō	k’jáuk	hnát	šéʔ	kùk	c’ὲ
Phun (Hpon)	tùʔ	hàiʔ	šàŋ	ji	kɔ̀ŋjɔ̀ŋ	kɔ́ŋ-jɔ́ŋ	áiŋ-t’ùʔ	šiʔ-jɔ́ŋ	cɔ́ŋ	tōᵏ s‘i
Tsaiwa	rà	í̱	sum`	mji	nò	k’júʔ	hŋjit	šít	kàu	c’ê
Achang	tà	sə̄k	sum`	mi	ŋɔ̀	xrōʔ	ñīt	šēt	kàu	č’ē
*4Lolo
+Proto-Lolo	t/di2	nyi2	sum2	o2	ŋa2	k9ho’1	sei2	nye’1	go2	tsche1
Nusu (N)	t’ì	nὲ	s’ɔ̀	vrì	ŋá	k’rū	hnə̄	šɛ̄	gí	c’é
…S	t’ì̱	ɦí	sá	ruí	ŋɔ̄	c̣’ù ̱	hnā	xjà̱	gí	c’é
Zaozou	tì	nǣ̱	sæ̱̀ 	yi	ŋə̀	k’aq	nē	jā̱	kì	c’ē
Xa Pho (Laghɯ)	a 21	ni 21	sɔ 21	khƚi 33	na 33	khu 33	ši 21	ʔɛ 33	ku 55	tʂhə 33
*5Northern
Pakishan	ts’e ma	njé ma	sò ma	lleu ma	nge ma	fou ma	šê ma	héî ma	gôu ma	t’si ma
Kangsiangying	djö	niö	suo	h’jö	guà	h’a	šeû	hon	guö	t’se
Kiaokio	lö deu la	song dö	sam dö	szi dö	hà dö	lók dö	šutt dö	pétt dö	ku dö	šipp dö
Nee	tse ma	gné ma	so ma	rlj ma	gnè ma	hru ma	še ma	hêi ma	dvu ma	tsi ma
Tudza	ta mu	ni mu	sö mu	ss’li mu	ngu mu	ts’ju lö	ši lö	hi lö	kö lö	tsö lö
P’ou-la	ta to	ni to	sa to	šli to	na to	ču to	ši to	hin to	ku to	tsö to
Ulu	ti	ńi		ś’li	ŋu	k’iu		hei	kö
Ko-p’u	tâ mou	gni mou	sé mou	ti mou	ou gné	tsiou lée	shi lée	i lée	k’hü lée	tsé lée
Weining	ta	gni	sö	hlih	mm	tchô	ši	he	küi	tsöô
*5East
Mung	sò·i	ño·i	duŋ7	ndzi	ŋò	kò·u3	khi3	t’ài	ku	sò·i tò·i
*5Central
Lisu	t’ř	ñř	sá	lī	ŋwa`	č’òʔ	ši`	hȩ̀ʔ	ku	c’i 3
Yi (Lolo)	cyp	nyip	suo	ly	nge	fut	shyp	hxit	ggu	ci
Chökö	t’a	m’	sF	li	ngo	so	si	zi	ku	tsF
Ahi	t‘i°	ni°	sö 51	li 15	ŋo°	ch‘u 15	šö°	ih 15	kö 51	ts‘ö 51
Lolopho	t‘i°	ni°	sö 51	li 15	ŋo°	ch‘o 15	šö°	hä 15	kö 51	ts‘ö 51
Phupha	t’a	m’	sa	slF	nga	so	i sF	he	ku	tsF
*5Southern
Phunoi	thə̆	hnə̆	sàm	hàn	ʔã̀	khà	bjò	tám	tè	ví
Pyen	tum lun	ñi lum	s‘um lum	hàn lum
Bisu	nìŋ	sɔ̀ŋ	sám	si	hà	hɔ́k	kjit	pὲt	káw	təsé
Mpi	thɯʔ2	ñi2	siŋ6	li6	ŋo2	khoʔ2	sıʔ2	həʔ2	kɯ$6	thə6
Hwethom	tò’2	ni1	d̵òŋ1	vài1	ŋà1	ku3	d̵u3	d̵i3	ku2	tˢi
Akha	tî	nyî	smˆ 	oě	ŋǎ	k’ô	šî	yêh	g’oě	ṯs̱ě
Ako	tö	ö°	hē	lī	ŋà	kō	s‘ī	ē	gwī	sō
Asong	tima	nhima	summa	lima	ngama	kouma	chéma	khèma	hôma	tsèma
Phana	tima	nhima	summa	lima	ngama	kouma	chéma	khèma	hôma	tsèma
Menghwa	chih	am	sao	yi	nga	k’o	hö	he	ko	ts’i
Hani	qiq2	niq2	saol1	yuvq	ngavq	kuvq	siivq	xeivq	hhyuq2	ceil1
Lahu	tê	nî	šɛ̂ʔ	ɔ̂	ŋâ	khɔ̀ʔ	cê	hí	qɔ̂	tê chi
Lahu Xi	tɛ̂	ñì	šɛ	ō	ŋa 3	k’ɔ 2	si 2	xé	qɔ 7	č’i 1
*5Residual
Manyak	tå-bī	nå-bi	sī-bi	rai-bi	ŋå-bi	trū-bi	skwi-bi	zi-bi	gū-bi	chai-chi-bi
Horpa	rɔ	ŋaī	sū	hlà	gwai	ch‘au	znai	hriē	gō	sgɔ
Menia	dji	nyi	so	zö	nga	k’o	shö	hen	n-gu	ho
Muli	ti	nö	son	zhi	ngo	t’ru	hnö	shüeh	yö	ka-te
Ugong	tī	nang	dōng	plī	ngaw	kaw	thī	hê	kū	sê

#anes
*Austronesian
+Proto-Austronesian	*esa/isa	*duSa	*telu	*Sepat	*lima	*enem	*pitu	*walu	*Siwa	*sa-puluq
**Atayalic
Atayal	qutux	saziŋ	ciwal	payat	maɣal	tizyuʔ	pituʔ	spat	qeruʔ	mpuw
Sedeq (Taroko)	kiŋal	daha	teru	sepac	rima	mumuteru	mupitu	mumusepac	muŋari	maxal
**Tsouic
Rukai Taloma	əa	Dosa	toLó	soʔátə	Limá	ənə́mə	ʔitó	vaLó	baŋátə	poLóko
…Bud	iθa	Dósa	tóLo	səpátə	Líma	ə́nəmə	píto	vaLo	báŋatə	póLoko
…Maga	Duka	Dúsa	túru	pátə	ríma	nɨmɨ	pítu	váru	vŋátɨ	prúku
…Tona	nága	dóθa	tóo	pátə	imá	nə́mə	píto	vaó	vaŋátə	pó:ko
…Mantauran	nə́ka	nosa	toLo	patə	Lima	nəmə	pito	vaLo	vaŋatə	poLoko
Tsou	cóni	yúso	túyu	sə́ptə	eímo	nómə	pítu	vóyu	sío	máskə
Kanakanabu	caáni	cuúsa	tuúlu	suúpata	liíma	n´ə́mə	piítu	áalu	síia	máanə
Saaroa	caani	suua	tuulu	paatə	kulima	kənəmə	kupitu	kualu	kusia	kumaatə
**Paiwanic
Bunun	tasʔaʔ	dusaʔ	tau	paat	himaʔ	nuum	pituʔ	vau?	sivaʔ	macʔan
Paiwan	ita	ùsa	cəl. u	səpac	l. ima	unəm	picu	al. u	siva	ta-pul. uq
Puyuma	saʔ	Dua	təLu	pat	Lima	nəm	pitu	waLu	iwa	puLuʔ
Saisiyat	ʔähäʔ	rošaʔ	tooʔ	šəpat	asəb	sayboši:	sayboši o ʔähäʔ	kašpat	ääʔhäʔ	laŋpəz
Ami	cɨcay	tusaʔ	tuluʔ	spat	limaʔ	ʔnəm	pituʔ	faluʔ	siwaʔ	ŋuʔtəp
*3Sinicized
Kavalan	ʔissaʔ	zusaʔ	tuLuʔ	spát	Limaʔ	ʔənəm	pituʔ	waLuʔ	siwaʔ	staRay
Pazeh	ʔidaʔ	dusaʔ	turuʔ	supat	xasəp	xasəbuzaʔ	xasəbiƚdusaʔ	xasəbiƚturuʔ	xasəbiƚsupat	ʔisit
Thao	ta:haʔ	tu:šaʔ	to:roʔ	špa:t	ri:maʔ	kato:roʔ	pi:tuʔ	kašpat	tana:θuʔ	ma:kθin
+Ketangalan	tsa	Lusa	tsʰu:	špat	tsima	anum	pitu	watsu	siwa	Labatan
+Taokas	ta:nu	rua	tuLu	lepat	hasap	tahap	jweto	mahalpat	tanasu	taisid
+Papora	tanu	nia	tuLu	nepat	nema	nenim	pitu	mahal	mesia	metsi
+Babuza	natta	roa	torro	naspat	naxab	natap	naito	maaspat	tannaxo	tsxiet
+Hoanya	meata	mesa	miatelu	miapa	Lima	minun	pito	miaLu	asia	miataisi
+Siraya	saat	duha	turo	hpat	rimma	annim	pitto	ku-ixpa	ma-tuda	k-itti
**Western
Chamorro	hacha	hu-gua	tulu	fatfat	lima	gunum	fiti	gualu	sigua	manot
…Modern	un	dos	tres	kuatro	sinko	sais	siette	ocho	nuebi	dies
Palauan	ta	eru	ede	eua	eim	elolęm	euid	eai	etiu	tęruich
Yapese	rep	ru	delip	eniŋek	lal	nel	me-dlip	me-ruk	me-rep	ragak
*3Northern Philippines
*4North Luzon
*5North Cordilleran
Isnag	ʔisá	duwa	tallu	ʔappa:t	limma	ʔánnam	pittu	walú	siya:m	sangapu:lu
Yogad	tatu	qaddu	talu	qappat	limu	qannam	pitu	walu	siyam	tafulu
Adasen	qisa	dua	talo	qop’pat	lima	qannɨm	pito	walo	siam	saŋa’polo
Malaweg	issaq	duwwá	tallú	appat	lima	annam	pitu	wálu	siyam	mapulu
Agta	tatakday	duwá̱	ta̱llu	ʔa̱ppát	lima̱	ʔanna̱m	pitú	wa̱lu	siam	ma̱p̵ulo
Itawis	isá	duwá	tallú	appát	limá	annə́m	pitú	walú	siyám	mafúlu
Gaddang	tata	ʔaddwa	tallu	ʔappat	lima	ʔanɨm	pitu	walo	siyam	tap̵ulu
Ga-dang	tata	adwa	talu	appat						tafulu
Ibanag	itté	duwá	tallú	appáq	limá	annám	pitú	walú	siyám	mafulú
Atta	itteʔ	dua:	tallu	appa:ʔ	li:ma:	annam	pitú	walú	sia:m	mapulu
Umiray Dumaget	qisin	qaduwa	tiluwon	qapat	lima	qanɨm	pito	walo	siyum	saŋpuwu
Southeast Cagayan Agta	sesa	duwa	tallo	upat	lima	anəm	pitu	walu	siyam	sangapulo
Kasiguranin	esa	duwa	təlo	apat	lima	ənəm	pito	walo	siyam	sapulo
Casiguran Dumaget	‘qɛsaq	qɨƚdu’waq	qɨtɨ’loq	qɨ’pat	limaq	qɨ’nɨm	pi’tuq	wa’luq	si’yam	‘sapuluq
Paranan	essa	duwa	tallo	ippat	li:ma	anném	pittu	walu	siam	sapulu
*5Ilokano
!Ilokano	maysa	dua	tallo	uppat	lima	innem	pito	walo	siam	sangapulo
*5South Central Cordilleran
*6Central Cordilleran
Isinai	osa	dúwa	tiu	opát	limá	anóm	pitú	wéyu	siyám	simpíu
Itneg	qis’sa	do’wa	ta’lo	qo’pat	li’ma	qɨ’nɨm	pi’to	wa’lo	si’yam	sanga’polo
Kalinga (Llamzón)	isá	duwá	tuló	opát	limá	olóm	pitú	walú	siyám	simpúyu
N Kalinga	sa’an	dowa	tulu	opát	limá	onóm	pitú	walú	siyám	simpúlu
S Kalinga	osá	dowá	tolú	opát	lima	onóm	pitú	walú	siyám	púlu
Balangaw	ʔɨhá	duwá̱	toló	ʔopát	lemá	ʔɨnɨm	pitú	walú	siya̱m	hempólo
Kiangan	qohá	duwá	tulú	qopát	rimá	qonóm	pitú	walú	hiyám	púlu
C Ifugao	ʔohá	duwá	tulú	ʔopát	limá	ʔonóm	pitú	walú	hiyám	himpúlu
Batad Ifugao	oha	duwa	tulu	apat	lema	onom	pitu	walu	hiyam	himpūlu
C Bontok	qisá	dowá	toló	qipát	li´ma	qiním	pitó	waló	siyám	poló
E Bontok	qosa	chowa	toro	qopat	lema	qonom	pito	waro	siyam	hin poro
Kankanay	əsá	duwá	tulú	upát	limá	ənə́m	pitú	walú	siyám	sinpú
North	qisá	dowá	toló	qipát	limá	qiním	pitó	waqó	siyám	simpó
Iyaplay	esa	duwa	tolo	epat	lima	enem	pito	wao	siyam	simpuo
*6Southern Cordilleran
Ilongot	šit	deva	tâgo	əpát	tambiáng	tambiang nu sít	tambiang nu dava	tambiánggot tagó	tambiang nu apát	támpu
Pangasinan	sakéy	duára	taló	apát	limá	aném	pito	waló	siamirá	poló
Inibaloi	sakɨy	chowa	tɨdo	ʔɨpát	dimá	‘ɨnɨm	pitó	bwalo	siyɨm	sampólo
Karaw	sɨqki	čɨgwa	tɨdo	qɨpat	lima	qɨnɨm	piθo	gwalo	siyam	sampolo
N Kallahan	hakɨy	duwá	tallu	ʔɨpát	limá	ʔî- nɨm	pitú	walú	hiyám	hampulu
S Kallahan	hakey	dewwa	tellu	epat	lima	enem	pitu	walu	heyam	hampulu
*4Bashiic-C Luzon-N Mindoro
*5Bashiic
Yami	asa	dowa	teylo	apat	lima	anem	pito	wawo	siam	poh
Itbayaten	aʔsa	doha	atlo	aʔpat	lima	aʔnəm	pito	waxo	siam	saapoxo
Ivatanan	asá	dadwa	tatdó	apát	dadimá	anəm	papitó	waho	siam	asaapoho
Babuyan	asa	dowa	tatdo	a:pat	dadima	a:nem	papito	wawaho	sasiyam	sapoho
Ivatan	asaq	dadowaq	tatdoq	apat	dadima	anem	papitoq	wawahoq	sasiyam	asapohoq
*5Central Luzon
Sinauna (Remontado Agta)	ʔisáʔ	darʔá	tatlú	ʔáʔpat	limá	ʔaʔnúm	pitú	walú	siyám	sángpu
Kapampangan	métung	aduwáq	atlú	ápat	limá	ánam	pitú	walú	siyám	apúluq
Tina	aʔsa	luwá	tolo	aʔpat	limá	aʔnəm	pitó	waló	siam	mapóʔ
Botolan	mi’ha	lo’a	tat’lo	‘qapat	li’ma	‘qanɨm	pi’to	wa’lo	si’am	ma’poq
Bolinao	saya	řuwa	tolo	qapat	limah	qaqnɨm	pito	waloh	syam	mapoloq
Alangan	osai	dowai	tolo	opat	lima	enem	pito	walo	siyam	osai saypolo
*3Southern Philippines
*4Subanun
West Subanon	sa’a	dua’	tolu	pat	lima	gonom	pitu	walu	siam	sapulu’
*4Manobo
Binukid	sabúwa	dadúwa	tatúlu	haəpát	lalíma	haənúm	pítu	wálu	siyám	sampúluq
Obo	sɨkad	duwá	túwɨd	ɨppat	lǐmaʔ	ʔánɨm	pǐtuʔ	wáow	siyɨw	sapówo
Ata	ʔisá	dadawa	tatuló	hopʔat	lalima	nonʔom	papitu	wawalu	sasiam	sampúluʔ
Tigwa	sabɨka	dadua	tatɨlu	hɨpʔat	lalima	hɨnʔɨm	pitú	walú	siam	sapuluʔ
Matigsalug	saa	duwa	tattelo	hep-at	lalima	hun-em	pito	walo	siyao	sapulo
Agusan	ʔisá	dáduwa	tatuyu	ʔupát	limá	ʔunî- m	pitú	wayú	sǐʔam	sampúyuʔ
Dibabawon	sɨ	duu	tuu	ʔupát	lima	ʔɨnɨm	pitu	wáu	siam	sampúuʔ
Rajah Kabungsuan	sebuú	darúa	tataqu	opat	lima	onom	pitu	waw	siam	sampuu
Ilanen	sɨbɨka	dɨruwa	tɨtɨlu	ʔɨpát	lɨlima	ʔî- nɨm	pitu	walú	siyɨw	sɨpuluʔ
West Bukidnon	sɨvɨka	dɨzuwa	tɨtɨlu	hɨʔɨpat	lɨlima	hɨʔɨnɨm	pitú	walú	siyɨw	sɨpuluʔ
Tagabawa	sabad	duá	tɨllu	ʔɨpát	limá	ʔánɨm	pitú	walú	sio	sapulu
Sarangani	sabad	dowá	talo	ʔapat	limá	ʔanam	pitó	waló	siyám	sampoloʔ
Kalamansig	ʔisa	duwá	tɨlu	ʔi-p̵at	limá	ʔî- nɨm	p̵itu	walú	siyow	si-p̵uluʔ
Tasaday (Cotabato)	saʔ	duwá	tɨlu	ʔafát	lǐma	ʔaî- m	fǐtu	walú	siyow	sɨfúluʔ
*4Davao
Magindanao	isá	duwá	təllú	pat	limá	ə́nnəm	pítu	wálu	siyáw	sapúluq
Maranao	ísa	duwá	tə́llu	pət	líma	nəm	pítu	wálu	siyáw	sápuluq
Iranon	isa	dua	telu	pat	lima	nem	pitu	walu	siyaw	sapulu
*3Meso-Philippine
*4South Mangyan
Hanunoo	usá	dúwa	tulú	upát	líma	únum	pitú	walú	siyám	sa púlo
Buhid	sadǐ	dúwa	tulú	ufát	limá	ʔunum	fitú	walú	siyám	safúlu
Taubuid	sadi	duwa	tulu	ufat	lima	unum	fitu	walu	siam	safulu
*4Kalamian
Kalamianen	sasaʔ	duruaʔ	tulúʔ	ʔɨpát	limáʔ	ʔɨnɨm	pǐtuʔ	walúʔ	siam	tangpuluk
Agutaynon	tataq	durvaq	tuloq	ɨpat	limaq	ɨnɨm	pito	waloq	siam	tampuloq
*4Palawan
Batak	usá	duwá	túlu	úpat	limá	ənə́m	pitúq	walú	siyám	sampúluq
Tagbanwa	əsá	duwá	tulú	əpát	limá	ənə́m	pitú	walú	siyám	sangpúluq
Palaweŋo	sangbatu	duwa	talu	ɔpat	lima	anɨm	pitu	walu	syam	sampulu
Molbog	sombiluq	dua	tolu	opat	lima	onom	turu	walu	siam	sompuluq
Banggi	simbatuʔ	duwa	toᵘ·lu	ʔapa·tʔ	lima	ʔonom	tuřu	waluʔ	siam	puluʔ
*3Central Philippines
*4Tagalog
!Tagalog	isá	dalawá	tatló	ápat	limá	ánim	pitó	waló	siyám	sampû
Marinduque	qisa	dulwa	tatlu	qa:pat	lima		pitu		nwe:be
*4Bikol
!Bikol (Naga)	saró’	duwá	tuló	apát	limá	anóm	pitó	waló	siyám	sampúlo’
Buhi	əsad	doa	tolo	əpat	lima	ənəm	pito	walo	siyam	sampolo
Iriga	ʔusad	dárwa	tulú	ʔɨpát	limá	ʔɨnɨm	pitú	walú	siyám	sampulu
*4Mansakan
Davawenyo		dowa	to	kowatro			pito
Kamayo	qisa	duwa	tuluɣ	qupat	lima	qunum	pitu	walu	siam	sampuluq
Mandayan	qisa	duwa	tulu	qupat	lima	qunum	pitu	walu	siam	yapuuq
Mansakan	ʔisá	duwá	turu	ʔúpat	limá	ʔî- nɨm	pitú	waru	siyám	sampuruʔ
Kalagan	sambuk	duwá	tulu	ʔúpat	limá	ʔɨnɨm	pitú	walú	siam	sampúluʔ
Tagakaolo	sambuk / kasya	duwa	tulu	upat	limaq	ɨnɨm	pitu	walu	siam	sampuluq
*4Mamanwa
Mamanwa	isá	duwá	tulú	upát	limá	ənə́m	pitú	walú	siyám	napúluq
*4Bisayan
Surigaonon	qəsa-	duhá-	tuyú-	qəpát	limá-	qənə́m	pitú-	wayú-	sijám	napúyuq
Jaun-Jaun	qisá-	duhá-	tuyú-	qupát	limá-	qunúm	pitú-	wayú-	sijam	napúyuq
Kantilan	qisá-		tuyú-	qupát	limá-	qunúm	pitú-	wayú-	sijám	napúyuq
Tausug	isá	duwá	túu	úpat	líma	únum	pítu	wálu	síyam	hangpúu
Butuanon	qisá-	duwá-	tuú-	qupát	limá-	qunúm	pitú-	waú-	siyám	sampúuq
!Cebuano	usá	duhá	tulú	upát	limá	unúm	pitú	walú	siyám	napúluq
Boholano	qəsa-	duhá-	təlú-	qəpát	limá-	qənə́m	pitú-	waú-	sijám	napúuq
Gubat (Waray Sorsogan)	sayúq	duwá-	tulú-	qupát	limá-	qunúm	pitú-	walú-	siyám	napúluq
N Samar	sayúq	duhá-	tulú-	qupát	limá-	qunúm	pitú-	walú-	siyám	napúluq
Waray	usá	duhá	tulú	upát	limá	unúm	pitú	walú	siyám	napúluq
Camotes (Porohanon)	qusá-	duhá-	tulú-	qupát	limá-	qunúm	pitú-	walu-	sizám	napúluq
Bantayan	qusá-	duhá-	tulú-	qupát	limá-	qunúm	pitú-	walú-	siyám	napúluq
Masbate	ʔusad	duhá	tuló	ʔúpat	limá	ʔunóm	pitó	waló	siyám	napoloʔ
Ilonggo (Hiligaynon)	isá	duhá	tátlu	ápata	limá	ánum	pitú	walú	siyám	púluq
Romblonanon	ʔisá	duhá	tuyó	ʔupát	limá	unóm	pitó	wayó	siyám	napúyoʔ
Banton	qusáh-	ruháh-	tátloh-	qápqat	limáh-	qánqom	pitoh-	wayóh-	sidám	sampúyoq
Odionganon	qusáh-	ruháh-	tuyóh-	qápqat	limáh-	qánqom	pitoh-	wayóh-	sidám	sampúyoq
Kuyunon	qisará-	dárwa-	tatlu-	qapat	limá-	qanəm	pitú-	walú-	siyám	sampuluq
Datagnon	qisará-	dárwa-	tátlu-	qápat	limá-	qánum	pitú-	walú-	siyám	napúluq
Kinaraya	sará	darwa	tatlo	apat	lima	anum	pito	walo	siyam	púloʔ
Pandan	qisaráh-	dárwah-	tátluh-	qápat	limáh-	qánəm	pitúh-	waluh-	siyám	napúluq
Looknon (Inonhan)	qísyah-	dálwah-	tatloh-	qápqat	limáh-	qánqom	pitóh-	walóh-	siyám	napúloq
Bulalakawnon	qisaráh-	dárwah-	tátluh-	qápat	limáh-	qánum	pitúh-	walúh-	siyám	napúluq
Aklanon	qisa áh	dáywah	tátloh	qâpqat	limáh-	qânqom	pitóh-	wa áh	siyám	napú oq
*3South Mindanao
Bagobo (Giangan)	hʌtu	quwa	tɨllu	appat	limo	qɨnɨm	pitu	wallu	hio	hɨpɨlɨ
Tiruray	seba’an	rowoʔ	telew	ʔefot	lemoʔ	ʔenem	fitew	walew	siyow	fuloʔ
Tboli	sotuh	lɨwuh	tluh	fat	limuh	nɨm	hituh	wɔluh	syom	sfɔlɔq
Bilaan	sə́tuu	aluə́u	tlúu	fáat	líməə	nam	fitúu	wə́əlu	siyə́m	as falóq
*3Celebes
*4Sangir-Minahasan
Talaud	sambaw	dar̃ua	tatallu	apatta	lima	annuma	pitu	uwaɭu	sio	mapuɭo
Sangir	səmbaw	dar̃ua	tatəlu	əpaʔ	lima	ənuŋ	pitú	waɭu	sio	mapuɭo
Sangil	sa	dalúa	tatáu	paq	líma	nuŋ	pítu	waw	síaw	mapúo
Bantik	insaw	dadua	tatuɭu	paʔ	ɭima	nuŋ	pitu	waɭu	siow	mapuɭo
Ratahan	saunsa	r̃ar̃ua	tulu	paʔ	lima	num	pitu	walu	siaw	mapulo
Tonsea	əsa	dua	tədu	əpat	dima	ənəm	pitu	watu	siow	mapuduʔ
Tondano	əsa	dua	təlu	əpat	lima	ənəm	pitu	nualu	siow	puluʔ
Tombulu	əsa	žua	teɮu	əpat	lima	ənəm	pitu	βaɮu	siow	mapuɮuʔ
Tontemboan	əsa	r̃ua	təlu	əpat	lima	ənəm	pitu	walu	siow	saŋapulu
Tonsawang	əsa	dua	təlu	əpat	lima	ənəm	pitu	waɭu	siow	saŋaβuɭu
*4Mongondow-Gorontalo
Ponosakan	soatu	dohua	tolu	opat	lima	onom	pitu	walu	siow	mopuluʔ
Mongondow	tobatu	dɛowa	tolu	opat	lima	onom	pitu	wařu	siow	mopuɭuʔ
Bintauna	soβatu	r̃ɛiya	toɭu	opato	ɭima	onomo	pitu	uwaɭu	sio	mopuɭu
